Event Name,Raw Date,Start Date,End Date,Venue,Country,Discipline,Competition Group,Result Link
Folksam Grand Prix Varberg,22 JUL 2025,2025-07-22,2025-07-22,"Påskbergsvallen, Varberg (SWE)",SWE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218986
Night of Athletics,19 JUL 2025,2025-07-19,2025-07-19,"Stadion De Veen, Heusden-Zolder (BEL)",BEL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218252
Meeting Maia Cidade do Desporto,19 JUL 2025,2025-07-19,2025-07-19,"Estádio José Vieira de Carvalho, Maia (POR)",POR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219164
Meeting Madrid 2025,19 JUL 2025,2025-07-19,2025-07-19,"Estadio Vallehermoso, Madrid (ESP)",ESP,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7217896
PUMA Fast Arms Fast Legs,18 JUL 2025,2025-07-18,2025-07-18,"Enwag-Stadion, Wetzlar (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219116
Meeting International d'Athlétisme de la Province de Liège,16 JUL 2025,2025-07-16,2025-07-16,"Province Naimette Arena, Liège (BEL)",BEL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218870
Gran Prix Sudamericano Gustavo Cardenas Brou,16 JUL 2025,2025-07-16,2025-07-16,"Estadio Atlético de la VIDENA, Lima (PER)",PER,"Race Walking, Track and Field",World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7227919
Grand Prix Brescia,15 JUL 2025,2025-07-15,2025-07-15,"Centro Gabre Gabric, Brescia (ITA)",ITA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7221241
Gran Prix Sudamericano Pedro Galvez Velarde,15 JUL 2025,2025-07-15,2025-07-15,"Estadio Atlético de la VIDENA, Lima (PER)",PER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7227918
The Jerome Classic,15 JUL 2025,2025-07-15,2025-07-15,"Swangard Stadium, Burnaby (CAN)",CAN,"Race Walking, Track and Field",World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218308
Spitzen Leichtathletik Luzern,15 JUL 2025,2025-07-15,2025-07-15,"Stadion Allmend, Luzern (SUI)",SUI,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7217813
Gran Prix Sudamericano Julia Iriarte,13 JUL 2025,2025-07-13,2025-07-13,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)",BOL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7228316
Edmonton Athletics Invitational,13 JUL 2025,2025-07-13,2025-07-13,"Foote Field, Edmonton (CAN)",CAN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218307
Meeting Sport e Solidarietà Lignano,13 JUL 2025,2025-07-13,2025-07-13,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",ITA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7221242
Meeting International de Marseille,13 JUL 2025,2025-07-13,2025-07-13,"Stade Delort, Marseille (FRA)",FRA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218642
Motonet GP Joensuu,12 JUL 2025,2025-07-12,2025-07-12,"Keskusurheilukenttä, Joensuu (FIN)",FIN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219000
Sunset Tour,12 JUL 2025,2025-07-12,2025-07-12,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",USA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7223443
Gran Prix Sudamericano Mario Paz,12 JUL 2025,2025-07-12,2025-07-12,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL)",BOL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7228315
47th Grand Prix Nove Mesto nad Metuji,12 JUL 2025,2025-07-12,2025-07-12,"General Klapálek ́s stadium, Nové Město nad Metují (CZE)",CZE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218977
Meeting Bouvet-Bionda,12-13 JUL 2025,2025-07-12,2025-07-13,"Stade de Vongy, Thonon-les-Bains (FRA)",FRA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218871
British Milers Club Grand Prix,12 JUL 2025,2025-07-12,2025-07-12,"Woodside Stadium, Watford (GBR)",GBR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219375
Moore-Guldensporenmeeting,12 JUL 2025,2025-07-12,2025-07-12,"Sportcentrum Wembley, Kortrijk (BEL)",BEL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219579
National Athletics Grand Prix Series - 6th Leg,11-13 JUL 2025,2025-07-11,2025-07-13,"Sports Center, Yulin (CHN)",CHN,"Combined Events, Track and Field",World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7224638
Morton Games,11 JUL 2025,2025-07-11,2025-07-11,"Morton Stadium, Santry, Dublin (IRL)",IRL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7217815
Ed Murphey Classic,11-13 JUL 2025,2025-07-11,2025-07-13,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",USA,"Road Running, Track and Field",World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7224867
LA Throws Cup,11 JUL 2025,2025-07-11,2025-07-11,"Colich Throws Center, Wilmington, CA (USA)",USA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7228651
CTFL Finals Presented By Ottawa Lions,11 JUL 2025,2025-07-11,2025-07-11,"Terry Fox AF, Ottawa (CAN)",CAN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218710
"XXVIII Meeting Internazionale ""Citta' di Nembro""",10 JUL 2025,2025-07-10,2025-07-10,"Centro Sportivo Saletti, Nembro (ITA)",ITA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7221243
Cork City Sports,09 JUL 2025,2025-07-09,2025-07-09,"Munster Technological University Track, Cork (IRL)",IRL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218290
Míting Internacional Ciutat de Barcelona,09 JUL 2025,2025-07-09,2025-07-09,"Estadi Joan Serrahima, Barcelona (ESP)",ESP,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7225901
Grand Prix Ústí nad Labem,09 JUL 2025,2025-07-09,2025-07-09,"Městský stadion, Ústí nad Labem (CZE)",CZE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218976
Continental Tour Memorial Alex Quiñonez,09 JUL 2025,2025-07-09,2025-07-09,"La Vicentina, Quito (ECU)",ECU,"Combined Events, Track and Field",World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7228312
36° Meeting Arcobaleno EAP AtleticaEuropa,08 JUL 2025,2025-07-08,2025-07-08,"Centro Sportivo G. Olmo-P. Ferro, Celle Ligure (ITA)",ITA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7222764
Meeting International Sotteville 2025,07 JUL 2025,2025-07-07,2025-07-07,"Stade Jean Adret, Sotteville-lès-Rouen (FRA)",FRA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219135
Fly Athens,06 JUL 2025,2025-07-06,2025-07-06,"Pl. Panathinaikou Stadiou, Athina (GRE)",GRE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219053
Meeting National Est Lyonnais,05 JUL 2025,2025-07-05,2025-07-05,"Stade Raymond Troussier, Decines (FRA)",FRA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219136
Dromia International Sprint and Relays Meeting,05 JUL 2025,2025-07-05,2025-07-05,"Konstantinos Baglatzis Municipal Stadium, Vari (GRE)",GRE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219068
IX Ordizia Meeting - International Meeting Jose Antonio Peña,05 JUL 2025,2025-07-05,2025-07-05,"Altamira estadioa, Ordizia (ESP)",ESP,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218536
BMW L. Louyet Meeting,05 JUL 2025,2025-07-05,2025-07-05,"Provincial domain Huizingen, Huizingen (BEL)",BEL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219833
Czesław Cybulski Memorial,05 JUL 2025,2025-07-05,2025-07-05,"Golęcin Stadion, Poznan (POL)",POL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7217955
Meeting Stanislas Nancy,04 JUL 2025,2025-07-04,2025-07-04,"Stade Raymond Petit, Tomblaine (FRA)",FRA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219134
Folksam Grand Prix Karlstad,03 JUL 2025,2025-07-03,2025-07-03,"Sola Arena, Karlstad (SWE)",SWE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7220031
36. Mednarodni miting Novo mesto,02 JUL 2025,2025-07-02,2025-07-02,"Stadion Portoval, Novo Mesto (SLO)",SLO,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219100
Swietelsky Grand Prix Tábor,02 JUL 2025,2025-07-02,2025-07-02,"Stadion Míru, Tábor (CZE)",CZE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218975
Boysen Memorial,02 JUL 2025,2025-07-02,2025-07-02,"Bislett Stadion, Oslo (NOR)",NOR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219085
31. midsommar - Charlottenburger-Mittsommernacht,28 JUN 2025,2025-06-28,2025-06-28,"Mommsenstadion, Berlin (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219106
29. Internationales Hofer Sparkassen Stabhochsprung-Meeting,28 JUN 2025,2025-06-28,2025-06-28,"Altstadt, Hof (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218448
Meeting National de Carquefou,28 JUN 2025,2025-06-28,2025-06-28,"Stade Du Moulin Boisseau, Carquefou (FRA)",FRA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218641
15. Int. Sparkassenmeeting,27 JUN 2025,2025-06-27,2025-06-27,"Jahnstadion, Osterode (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219103
39ème Meeting International Montgeron-Essonne,27 JUN 2025,2025-06-27,2025-06-27,"Stade Pierre de Coubertin, Montgeron (FRA)",FRA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218873
Meeting Internacional Ciudad de Málaga,26 JUN 2025,2025-06-26,2025-06-26,"Estadio Ciudad de Málaga, Málaga (ESP)",ESP,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7224816
Grand Prix Sudamericano - Paraguay,25 OCT 2025,2025-10-25,2025-10-25,"Parque Olímpico Pista De Atletismo, Luque, Asunción (PAR)",PAR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7231417
Atletang Ayala World Pole Vault Challenge,21 SEP 2025,2025-09-21,2025-09-21,"Ayala Triangle Garden, Makati (PHI)",PHI,Track and Field,World Athletics Continental Tour,
World Athletics Indoor Championships,21-23 MAR 2025,2025-03-21,2025-03-23,CHN,GW,"World Athletics Indoor Championships, World Athletics Series",Result,https://worldathletics.org/competition/calendar-results/results/7136586
World Athletics Indoor Championships,01-03 MAR 2024,2024-03-01,2024-03-03,GBR,GW,"World Athletics Indoor Championships, World Athletics Series",Result,https://worldathletics.org/competition/calendar-results/results/7180312
World Athletics Indoor Championships,18-20 MAR 2022,2022-03-18,2022-03-20,SRB,GW,"World Athletics Indoor Championships, World Athletics Series",Result,https://worldathletics.org/competition/calendar-results/results/7138985
Aramco Houston Half Marathon,11 JAN 2026,2026-01-11,2026-01-11,"Houston, TX (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236794
C&D Xiamen Marathon,11 JAN 2026,2026-01-11,2026-01-11,Xiamen (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235565
Chevron Houston Marathon,11 JAN 2026,2026-01-11,2026-01-11,"Houston, TX (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235560
10K Valencia Ibercaja by Kiprun,11 JAN 2026,2026-01-11,2026-01-11,Valencia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7235984
40. OPTIMA Dreikönigslauf in Schwäbisch Hall,06 JAN 2026,2026-01-06,2026-01-06,Schwäbisch Hall (GER),GER,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236068
B100 Cursa dels Nassos,31 DEC 2025,2025-12-31,2025-12-31,Barcelona (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7236389
BOclassic Alto Adige,31 DEC 2025,2025-12-31,2025-12-31,Bolzano (ITA),ITA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7222041
BOclassic Alto Adige - 10km,31 DEC 2025,2025-12-31,2025-12-31,Bolzano (ITA),ITA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7222042
100ª Corrida Internacional de São Silvestre,31 DEC 2025,2025-12-31,2025-12-31,São Paulo (BRA),BRA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7228602
Nationale-Nederlanden San Silvestre Vallecana,31 DEC 2025,2025-12-31,2025-12-31,Madrid (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221898
São Silvestre de Lisboa,27 DEC 2025,2025-12-27,2025-12-27,Lisboa (POR),POR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7231315
Guangzhou Marathon,21 DEC 2025,2025-12-21,2025-12-21,Guangzhou (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7220889
3ème Corrida de Houilles,21 DEC 2025,2025-12-21,2025-12-21,Houilles (FRA),FRA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7230652
Taipei Marathon,21 DEC 2025,2025-12-21,2025-12-21,Taipei City (TPE),TPE,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221919
Bangsaen21,21 DEC 2025,2025-12-21,2025-12-21,Chon Buri (THA),THA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7226173
Brunei International Half Marathon,21 DEC 2025,2025-12-21,2025-12-21,B.S.Begawan (BRU),BRU,Road Running,World Athletics Label Road Races,
Hainan Danzhou Marathon,21 DEC 2025,2025-12-21,2025-12-21,Danzhou (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221896
Bangkok Midnight Marathon,21 DEC 2025,2025-12-21,2025-12-21,Bangkok (THA),THA,Road Running,World Athletics Label Road Races,
Tata Steel World 25K Kolkata,21 DEC 2025,2025-12-21,2025-12-21,Kolkata (IND),IND,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221922
Bajaj Pune Marathon,14 DEC 2025,2025-12-14,2025-12-14,Pune (IND),IND,Road Running,World Athletics Label Road Races,
7th IInternational Mersin Marathon,14 DEC 2025,2025-12-14,2025-12-14,Mersin (TUR),TUR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7220977
Generali Maratón de Málaga,14 DEC 2025,2025-12-14,2025-12-14,Málaga (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221905
Huangshi Half Marathon,14 DEC 2025,2025-12-14,2025-12-14,Huangshi (CHN),CHN,Road Running,World Athletics Label Road Races,
Fuzhou Marathon,14 DEC 2025,2025-12-14,2025-12-14,Fuzhou (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221957
Shenzhen Nanshan Half Marathon,14 DEC 2025,2025-12-14,2025-12-14,Shenzhen (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221958
Al Sharqiyah International Race - 5KM,13 DEC 2025,2025-12-13,2025-12-13,Al Khobar (KSA),KSA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7226627
Al Sharqiyah International Race- Half Marathon,13 DEC 2025,2025-12-13,2025-12-13,Al Khobar (KSA),KSA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7226628
Al Sharqiyah International Race - One mile,13 DEC 2025,2025-12-13,2025-12-13,Al Khobar (KSA),KSA,"Road Running, Track and Field",World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7226589
ADNOC Abu Dhabi Marathon,13 DEC 2025,2025-12-13,2025-12-13,Abu Dhabi (UAE),UAE,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7234980
Standard Chartered Singapore Marathon,07 DEC 2025,2025-12-07,2025-12-07,Singapore (SGP),SGP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7220463
Maratón Valencia Trinidad Alfonso Zurich,07 DEC 2025,2025-12-07,2025-12-07,Valencia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7219905
Nanning Marathon,07 DEC 2025,2025-12-07,2025-12-07,Nanning (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221953
56th Hofu Yomiuri Marathon,07 DEC 2025,2025-12-07,2025-12-07,Hofu (JPN),JPN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221955
Xtep Jinjiang Marathon,07 DEC 2025,2025-12-07,2025-12-07,Jinjiang (CHN),CHN,Road Running,World Athletics Label Road Races,
Semi Marathon International Tamansourt,07 DEC 2025,2025-12-07,2025-12-07,Tamansourt (MAR),MAR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7224756
Shenzhen Marathon,07 DEC 2025,2025-12-07,2025-12-07,Shenzhen (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221952
Course de l'Escalade,07 DEC 2025,2025-12-07,2025-12-07,Genève (SUI),SUI,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221979
Xiamen Haicang Half Marathon,07 DEC 2025,2025-12-07,2025-12-07,Xiamen (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7222383
Fukuoka International Marathon,07 DEC 2025,2025-12-07,2025-12-07,Fukuoka (JPN),JPN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221954
Abuja Premium Trust Half Marathon,06 DEC 2025,2025-12-06,2025-12-06,Abuja (NGR),NGR,Road Running,World Athletics Label Road Races,
Langkawi International Half Marathon,06 DEC 2025,2025-12-06,2025-12-06,Langkawi (MAS),MAS,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7228518
Red Sea Half Marathon,05 DEC 2025,2025-12-05,2025-12-05,Aqaba (JOR),JOR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7232363
Amazing Thailand Marathon Bangkok 21k - Official Bangkok Capital City Marathon,30 NOV 2025,2025-11-30,2025-11-30,Bangkok (THA),THA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7224300
Shanghai Marathon,30 NOV 2025,2025-11-30,2025-11-30,Shanghai (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7222085
XLI Maratón Internacional Guadalajara Hidratado por Electrolit,30 NOV 2025,2025-11-30,2025-11-30,Guadalajara (MEX),MEX,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7226632
Venus Womens Half Marathon,30 NOV 2025,2025-11-30,2025-11-30,São Paulo (BRA),BRA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7232510
Marathon COMAR de Tunis-Carthage,30 NOV 2025,2025-11-30,2025-11-30,Tunis (TUN),TUN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221978
Amazing Thailand Marathon Bangkok - Official Bangkok Capital City Marathon,30 NOV 2025,2025-11-30,2025-11-30,Bangkok (THA),THA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7224299
SCO Kunming Marathon,30 NOV 2025,2025-11-30,2025-11-30,Kunming (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7228580
Amazing Thailand Marathon Bangkok 10k - Official Bangkok Capital City Marathon,30 NOV 2025,2025-11-30,2025-11-30,Bangkok (THA),THA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7224301
10KM Port Gentil,29 NOV 2025,2025-11-29,2025-11-29,Port Gentil (GAB),GAB,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7234284
Manchester Road Race,27 NOV 2025,2025-11-27,2025-11-27,"Manchester, CT (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7231051
IndianOil WNC Navy Half Marathon,23 NOV 2025,2025-11-23,2025-11-23,Mumbai (IND),IND,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7233488
Shaoxing Marathon,23 NOV 2025,2025-11-23,2025-11-23,Shaoxing (CHN),CHN,Road Running,World Athletics Label Road Races,
Maratona de Curitiba,23 NOV 2025,2025-11-23,2025-11-23,Curitiba (BRA),BRA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7231836
Halong Bay Heritage,23 NOV 2025,2025-11-23,2025-11-23,Ha Long (VIE),VIE,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7231835
Sofi Malt Great Ethiopian Run International 10km,23 NOV 2025,2025-11-23,2025-11-23,Addis Abeba (ETH),ETH,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7231413
AACR Philadelphia Marathon,23 NOV 2025,2025-11-23,2025-11-23,"Philadelphia, PA (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7234920
China-Asean Marathon,23 NOV 2025,2025-11-23,2025-11-23,Fangchenggang (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221950
Pertamina ECO Runfest,23 NOV 2025,2025-11-23,2025-11-23,Jakarta (INA),INA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7234149
Yiwu Half Marathon,23 NOV 2025,2025-11-23,2025-11-23,Yiwu (CHN),CHN,Road Running,World Athletics Label Road Races,
Korat Marathon Presented by BYD,16 NOV 2025,2025-11-16,2025-11-16,Nakhon Ratchasima (THA),THA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7224815
Bank Jateng Borobudur Marathon,16 NOV 2025,2025-11-16,2025-11-16,Borobudur (INA),INA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7229140
Guang'an marathon,16 NOV 2025,2025-11-16,2025-11-16,Guang'an (CHN),CHN,Road Running,World Athletics Label Road Races,
Guillin Marathon,16 NOV 2025,2025-11-16,2025-11-16,Guilin (CHN),CHN,Road Running,World Athletics Label Road Races,
Kobe Marathon,16 NOV 2025,2025-11-16,2025-11-16,Kobe (JPN),JPN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7228582
Nanjing Marathon,16 NOV 2025,2025-11-16,2025-11-16,Nanjing (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7220888
Bangsaen42,09 NOV 2025,2025-11-09,2025-11-09,Chon Buri (THA),THA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221885
B.A.A. Half Marathon,09 NOV 2025,2025-11-09,2025-11-09,"Boston, MA (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7228534
Nanchang Marathon,09 NOV 2025,2025-11-09,2025-11-09,Nanchang (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7222083
Maratona di Ravenna Citta' D'Arte,09 NOV 2025,2025-11-09,2025-11-09,Ravenna (ITA),ITA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7219980
Athens Marathon. The Authentic,09 NOV 2025,2025-11-09,2025-11-09,Athina (GRE),GRE,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221883
Gaochun Marathon,02 NOV 2025,2025-11-02,2025-11-02,Nanjing (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221881
EDP Porto Marathon,02 NOV 2025,2025-11-02,2025-11-02,Porto (POR),POR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7222034
Hangzhou marathon,02 NOV 2025,2025-11-02,2025-11-02,Hangzhou (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7220346
Istanbul Marathon,02 NOV 2025,2025-11-02,2025-11-02,Istanbul (TUR),TUR,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7220347
Beijing Marathon,02 NOV 2025,2025-11-02,2025-11-02,Beijing (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7220845
Yichang Marathon,02 NOV 2025,2025-11-02,2025-11-02,Yichang (CHN),CHN,Road Running,World Athletics Label Road Races,
Round Lihu Lake Half Marathon,02 NOV 2025,2025-11-02,2025-11-02,Wuxi (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221878
TCS New York City Marathon,02 NOV 2025,2025-11-02,2025-11-02,"New York, NY (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7219840
Abbott Dash to the Finish Line 5K,01 NOV 2025,2025-11-01,2025-11-01,"New York, NY (USA)",USA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7232364
Xichang Lake Wetland Marathon,01 NOV 2025,2025-11-01,2025-11-01,Xichang (CHN),CHN,Road Running,World Athletics Label Road Races,
Chengdu Marathon,26 OCT 2025,2025-10-26,2025-10-26,Chengdu (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7220348
Medio Marathon Valencia Trinidad Alfonso Zurich,26 OCT 2025,2025-10-26,2025-10-26,Valencia (ESP),ESP,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7220464
Jakarta Running Festival,26 OCT 2025,2025-10-26,2025-10-26,Jakarta (INA),INA,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221043
Xinyu fairy lake marathon,26 OCT 2025,2025-10-26,2025-10-26,Xinyu (CHN),CHN,Road Running,World Athletics Label Road Races,https://worldathletics.org/competition/calendar-results/results/7221894
